type	latitude	longitude	name	desc	url
W	34.185000000	-118.482222220	LA-96-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	34.386388890	-118.329166670	LA-98-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	34.431388890	-118.375555560	LA-98-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	37.948888890	-122.291111110	SF-08/09-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	37.925000000	-122.262222220	SF-08/09-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	37.815833330	-122.062222220	SF-25-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	37.812500000	-122.042500000	SF-25-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	37.723611110	-122.118888890	SF-31-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	37.721527780	-122.098944440	SF-31-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	37.540000000	-122.084166670	SF-37-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	37.558888890	-122.096111110	SF-37-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	37.613333330	-122.458888890	SF-51-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	37.639444440	-122.478888890	SF-51-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	37.692222220	-122.447777780	SF-59-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	37.714722220	-122.501666670	SF-59-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	37.827500000	-122.498888890	SF-87-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	37.835000000	-122.530833330	SF-87-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	37.842222220	-122.531944440	SF-88-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	37.826666670	-122.527500000	SF-88-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	37.757777780	-122.457777780	SF-89-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	37.792222220	-122.473333330	SF-89-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	37.861388890	-122.430555560	SF-91-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	37.856388890	-122.422500000	SF-91-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	37.997777780	-122.502500000	SF-93-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	38.023888890	-122.520833330	SF-93-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	38.316111110	-121.871111110	T-10-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	38.317222220	-121.893611110	T-10-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	38.218611110	-121.847500000	T-33-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	38.221944440	-121.857222220	T-33-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	38.208888890	-121.941944440	T-53-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	38.202777780	-121.935555560	T-53-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	38.299166670	-121.999166670	T-86-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	38.276111110	-122.002222220	T-86-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.339722220	-73.045000000	BR-04-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.350555560	-73.048888890	BR-04-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.267777780	-72.991944440	BR-15-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.271666670	-72.979722220	BR-15-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.228055560	-73.015833330	BR-17-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.240000000	-73.004722220	BR-17-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.128333330	-73.250277780	BR-65-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.124722220	-73.263333330	BR-65-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.171111110	-73.328611110	BR-73-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.159722220	-73.330000000	BR-73-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.327777780	-73.183611110	BR-94-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.308055560	-73.172500000	BR-94-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.870000000	-72.594166670	HA-08-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.891666670	-72.602777780	HA-08-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.751388890	-72.533888890	HA-25-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.738888890	-72.515833330	HA-25-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.638333330	-72.545000000	HA-36-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.631666670	-72.562222220	HA-36-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.606111110	-72.691388890	HA-48-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.581388890	-72.685833330	HA-48-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.680000000	-72.822777780	HA-67-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.702222220	-72.853611110	HA-67-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.810833330	-72.798611110	HA-85-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.827500000	-72.830000000	HA-85-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	25.623333330	-80.404444440	HM-101DC	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	25.939444440	-80.298888890	HM-01/03-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	25.961666670	-80.303333330	HM-01/03-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	25.276388890	-80.303055560	HM-40-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	25.261666670	-80.313888890	HM-40-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
