NAME (ENG),ALT NAMES,REF1,REF2,OBLAST,COUNTRY,IMGQUAL,ICAO,ICAOR,ICAOSRC,CAT,SIG,LATD,LATM,LATS,LOND,LONM,LONS,SRCLATLON (G=GoogleLowRes H=GoogleHighRes X=not found),ELEV1FT,ELEV1SRC,ELEV2FT,ELEV2SRC,ELEV3FT,ELEV3SRC,LAT,LON,MAG2010,R1L,R1W,R1DIMSRC (G=googlelowres H=googlehighres),R1HDG,R1NAM,R1SFC,R2LEN,R2WID,R2DIMSRC,R2HDG,R2OVRUNNE,R2OVRUNSW,R2NAM,R2SFC,R2dg,R2len,USE,OPR,MILPURPOSECODE,UNITS,NOTES,,,,,,,,,,
Ust-Ynykchan,,10 km W,Nizhny Ynykchan,,RU,,,,,N,2,60,15.4,N,137,30.8,E,G,1424,T,,,,,60.2567,137.5133,-15.0,1250,20,G,8,02/20,DIRT,,,,,,,,,,,CIV,,,Civilian,Minor civilian airstrip.,,,,,,,,,,
Tilichiki,Korf (US),5 km S,Tilichiki,Kamchatskaya,RU,,UHPT,,D,M,3,60,23.0,N,166,1.5,E,G,7,A,,,,,60.3833,166.0250,-3.0,1380,28,A,17,02/20,ASPH,,,,,,,,,,,CIV,,,Civilian,Services small transport aircraft.  Located on sand islet.,,,,,,,,,,
Ust-Pakhachi,,2 km W,Ust-Pakhachi,Kamchatskaya,RU,,UHPA,,,M,,60,33.5,N,169,6.5,E,G,10,,,,,,60.5583,169.1083,-2.0,1390,28,,100,10/28,ASPH,,,,,,,,,,,CIV,,,Civilian,Services small transport aircraft.,,,,,,,,,,
Tallinn/Lasnamae,,5 km E,Tallinn,,EE,,,,,A,0,59,26.7,N,24,52.1,E,G,141,,,,,,59.4450,24.8683,7.0,2500,40,,95,,????,,,,,,,,,,,-,,,Abandoned,Abandoned airfield; now has apartment buildings and little trace remains.  Located 4.5 km north-northeast of Ulemiste airfield.,,,,,,,,,,
Tallinn/Ulemiste,Ulemiste,5 km SE,Tallinn,,EE,,EETN,,C,M,,59,24.8,N,24,50.0,E,C,131,C,,,,,59.4133,24.8333,6.0,3070,45,C,90,08/26,ASPH,,,,,,,,,,,CIV/MIL,,I,384 IAP (MiG-23P).,Civilian airport with 33 large parking spaces near main terminal. Small military pad.  Older runway was 2850 m.,,,,,,,,,,
Suurkyul,"Vasalemma (US), Amari, Emari, Shuurkyul, Shuurkul",7 km S,Klooga Jarv,Harjumaa,EE,,EEEI,,W,M,,59,15.6,N,24,12.5,E,W,66,W,,,,,59.2600,24.2083,6.0,2000,45,W,71,07/25,CONC,,,,,,,,,,,MIL,,A,321 MShAP (30 Su-24).  170 MShAP (29 Su-24)[#3].,Actual pavement appears to be 2500 m.,,,,,,,,,,
Tapa,,3 km SW,Tapa,,EE,,,,,M,,59,14.1,N,25,57.1,E,G,318,,,,,,59.2350,25.9517,7.0,2500,45,G,60,,CONC,,,,,,,,,,,MIL,,,"Interceptor.  656 IAP (38 MiG-23, 1991).",Typical fighter base.,,,,,,,,,,
Kunda,Rakvere-Vainupaa (US),13 km W,Kunda,,EE,,,,,M,,59,32.2,N,26,18.7,E,G,135,,,,,,59.5367,26.3117,7.0,2500,45,G,54,,CONC,,,,,,,,,,,MIL,,A,66 Attack Air Regiment (45 Su-17).,Location suggested by AviaMK; not confirmed.,,,,,,,,,,
Sumsk,,28 km SW,Volosovo,Leningradskaya,RU,,,,,A,0,59,18.4,N,29,5.8,E,G,299,,,,,,59.3067,29.0967,8.0,3300,40,G,121,,????,,,,,,,,,,,-,,,Abandoned,"Abandoned 1960s-era airfield, listed as a major aerodrome on a 1974 GNC-3 with jet facilities.  Geometrics now barely visible.  Length of 10900 ft obtained from ONC D-3.",,,,,,,,,,
St Petersburg/Rzhevka,Smolnaya (US),15 km E,St Petersburg,Leningradskaya,RU,,ULSS,,,M,,59,58.8,N,30,35.3,E,H,56,,,,,,59.9800,30.5883,9.0,1800,40,H,71,06/24,ASPH,,,,,,,,,,,CIV,,,Civilian,Services small transport aircraft.,,,,,,,,,,
St Petersburg/Pulkovo,,15 km S,St Petersburg,Leningradskaya,RU,,ULLI,,CD,M,,59,48.0,N,30,15.8,E,CD,79,CD,,,,,59.8000,30.2633,9.0,3780,60,C,106,10R/28L,CONC,,,,,,,,,,,CIV,,,Civilian,International airport for St. Petersburg (Leningrad).  Terminal area services 64 medium/large aircraft; Apron 3 on northeast side handles 22 aircraft.  Rwy 10L/28R was closed in 2005.  First 100 m of all runways unusable for takeoff.,,,,,,,,,,
Gorelovo,Annino,23 km SW,St Petersburg,Leningradskaya,RU,,,,,M,1,59,45.9,N,30,4.6,E,H,154,,,,,,59.7650,30.0767,9.0,2500,60,H,85,,CONC,,,,,,,,,,,MIL,,,Military,Closed military facility 10 km west of Pulkovo International Airport.  Today it has only 100 stored Mil8's and had one active An26.  May have been named Gorelovo and renamed in early 1990s.  (Thanks to AviaMK)  A closeup photo exists on airliners.net (638374).,,,,,,,,,,
Pushkin,,28 km S,St Petersburg,Leningradskaya,RU,,ULLP,,,M,,59,41.1,N,30,20.2,E,H,230,,,,,,59.6850,30.3367,9.0,2500,44,H,35,03/21,CONC,,,,,,,,,,,CIV/MIL,,H,147 OVZ RZB (Mi-8)[#7]. ,Handles small airliners.  Very active military base with Il18/22/38 and Antonov's,,,,,,,,,,
Siverskiy,,2 km NW,Siverskiy,Leningradskaya,RU,9,,,,M,,59,21.3,N,30,2.0,E,H,341,,,,,,59.3550,30.0333,9.0,2500,50,H,51,05/23,CONC,,,,,,,,,,,MIL,,A,"67 BAP (Su-24, 1994)[#7].","Small airfield 65 km south of St. Petersburg (Leningrad).  Nuclear bomber base according to NRDC.  United States inspection was conducted here in 11 February 1992, at which time Su-24 aircraft were in service.  Google Earth imagery shows several Su-24 aircraft parked.",,,,,,,,,,
Chudovo Northwest,,12 km S,Lyuban,Leningradskaya,RU,3,,,,M,,59,14.3,N,31,16.2,E,G,164,,,,,,59.2383,31.2700,9.0,2000,30,G,177,,CONC,,,,,,,,,,,MIL,,,Military,Appears to be a bare-bones forward deployment base.  Cut tightly into forest.,,,,,,,,,,
Cherepovets,,18 km N,Cherepovets,Bologodskaya,RU,4,ULWC,,C,M,,59,16.5,N,38,1.1,E,G,377,,,,,,59.2750,38.0183,11.0,2523,42,G,42,03/21,ASPH,,,,,,,,,,,CIV,,,Civilian,,,,,,,,,,,
Trufanovo,,11 km N,Vologda,,RU,4,,,,A,,59,18.5,N,39,53.0,E,G,0,,,,,,59.3083,39.8833,,1300,25,G,107,,,,,,,,,,,,,,,,,Appears to be an abandoned major airfield.  Dimensions approximate due to satellite imagery overlaps.,,,,,,,,,,
Vologda,,8 km N,Vologda,,RU,,ULWW,,CD,M,,59,16.9,N,39,56.8,E,C,387,C,,,,,59.2817,39.9467,12.0,1500,42,C,163,15/33,CONC,,,,,,,,,,,CIV,,,Civilian,Services small airliners.,,,,,,,,,,
Kipelovo,Fedotovo,44 km W,Vologda,,RU,4,,,,M,8,59,11.4,N,39,7.4,E,G,574,,,,,,59.1900,39.1233,12.0,3500,60,G,3,,CONC,,,,,,,,,,,MIL,,R,"76 PLAPDD (25 Tu-142M, 1992)[#3].  39 ODRAP (Tu-95RT).  135 PLAPDD (20 Tu-142M, 1992)[#3], (4 Tu-142MR, 1992)[#3].  392 ODRAP (Tu-95RT, 1992)[#3].","Large base for long-range aircraft; 20 revetments in remote area and large tarmac along parallel taxiway.  Built in 1963, Kipelovo was a major source of Tu-142 flights overshadowing the U.S. fleet in the Atlantic.  <http://www.vologda18.narod.ru/>",,,,,,,,,,
Totma,,2 km N,Totma,,RU,,ULWT,,,N,1,59,59.5,N,42,45.9,E,O,427,O,,,,,59.9917,42.7650,13.0,1524,20,O,,,DIRT,,,,,,,,,,,CIV,,,Civilian,Location uncertain.,,,,,,,,,,
Kichmengskiy Gorodok,,2 km SE,Kichmengskiy Gorodok,,RU,,,,,M,5,59,58.5,N,45,49.7,E,G,364,O,,,,,59.9750,45.8283,14.0,1200,20,G,142,13/31,ASPH,,,,,,,,,,,CIV,,,Civilian,Medium-sized airfield with several buildings and hangars.,,,,,,,,,,
Nikolsk South,,5 km SE,Nikolsk,,RU,,,,,M,5,59,29.8,N,45,31.1,E,G,551,O,,,,,59.4967,45.5183,14.0,1250,20,G,8,17/35,ASPH,,,,,,,,,,,CIV,,,Civilian,Small paved civilian airfield with parking area and administration buildings.,,,,,,,,,,
Kudymkar,,,,,RU,,USPK,,,x,,59,2.0,N,54,37.0,E,,607,,,,,,59.0333,54.6167,15.0,1150,120,,115,10/28,DIRT,,,,,,,,,,,CIV,,,,,,,,,,,,,,
Berezniky,,9 km SE,Solikamsk,,RU,,USPT,,,M,,59,34.8,N,56,51.5,E,H,679,,,,,,59.5800,56.8583,16.0,1500,42,H,181,17/35,ASPH,,,,,,,,,,,CIV,,,Civilian,Mostly services helicopters.,,,,,,,,,,
Andryushino,Andrushino,1 km NW,Andryushino,,RU,,,,,N,,59,13.9,N,62,58.8,E,G,361,C81,,,,,59.2317,62.9800,,550,70,C81,18,Rwy 1,DIRT,,,,,,,,,,,CIV,,,Civilian,Position uncertain due to poor Google satellite imagery.,,,,,,,,,,
Lugovoy/Konda,Konda,1 km SE,Lugovoy,,RU,,USHL,,C,x,1,59,42.0,N,65,55.0,E,,200,,,,,,59.7000,65.9167,16.0,350,,,60,,CONC,,,,,,,,,,,CIV,,,Civilian,"Barely visible, if at all, on satellite.  May be just a helipad.  ONC seems to indicate that it exists.",,,,,,,,,,
Mezhdurechensky,,,,,RU,,USHM,,,x,,59,35.0,N,65,50.0,E,,0,,,,,,59.5833,65.8333,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kondinskoye,,,,,RU,4,USHK,,,x,,59,39.0,N,67,26.0,E,,131,,,,,,59.6500,67.4333,16.0,1600,70,,26,01/19,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolchary,,,,,RU,4,,,,x,,59,48.0,N,68,47.0,E,,0,,,,,,59.8000,68.7833,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitim,,3 km N,Vitim,,RU,,UERT,,D,N,,59,27.5,N,112,33.8,E,H,610,,,,,,59.4583,112.5633,-9.0,1100,50,,172,17/35,DIRT,,,,,,,,,,,CIV,,,Civilian,Small transport aircraft.  Li-2 are based here.,,,,,,,,,,
Yugarenok,,1 km N,Yugarenok,,RU,,,,,M,2,59,45.9,N,137,41.0,E,G,1001,,,,,,59.7650,137.6833,,2000,30,G,5,,CONC,,,,,,,,,,,CIV,,,Civilian,Concrete runway appears to be in decay.,,,,,,,,,,
Okhotsk,,7 km NW,Okhotsk,,RU,,UHOO,,CD,M,,59,24.6,N,143,3.3,E,H,66,,,,,,59.4100,143.0550,,1780,36,H,44,03/21,PLAT,,,,,,,,,,,CIV,,,Civilian,Abandoned military base; probably an interceptor base from 1950s/1960s.  Shows distinct hardened taxiway pattern and evidence of extensive military buildings. Services small transport aircraft.,,,,,,,,,,
Magadan/Sokol,"Magadan Northwest (US), Magadan 56 Km",40 km N,Magadan,,RU,,UHMM,,CD,M,,59,54.7,N,150,43.2,E,CD,574,CD,,,,,59.9117,150.7200,-11.0,3452,60,CD,93,10/28,CONC,,,,,,,,,,,CIV,,,Civilian,"A major airport that parks 30 jets on its apron.  It was built starting in 1961, with work completed in 1963.  It services nearly all types of jets.  The western overrun measures 600x42 m long but is no longer usable since approach lights are installed here; this overrun has a turnaround and it appears it formed part of an older runway that was moved east and expanded in the 1980s or 1990s.",,,,,,,,,,
Magadan 13,Magadan/East,10 km NE,Magadan,,RU,,UHMT,,,M,3,59,37.4,N,150,55.3,E,H,164,,,,,,59.6233,150.9217,,1450,50,H,14,,CONC,,,,,,,,,,,?,,,Unknown,"Handles most prop transports.  Regular passenger Il-14 were flying here in 1950s-60s.  In 70s-80s it was a busy airport for charter operations (An-2, Mi-4, Mi-8, etc) that served geological expeditions, firefighters, and local routes.  Currently there are An-2s, Mi-8s, and a helicopter maintenance facility. (Thanks to Alexey Skibin)",,,,,,,,,,
Palana,,4 km W,Palana,Kamchatskaya,RU,,UHPL,,,M,,59,4.9,N,159,53.4,E,H,112,,,,,,59.0817,159.8900,,1440,28,H,126,12/30,ASPH,,,,,,,,,,,CIV,,,Civilian,Services small transports.,,,,,,,,,,
Palana/Southeast,,3 km S,Palana,Kamchatskaya,RU,,,,,M,3,59,3.5,N,159,58.0,E,G,154,,,,,,59.0583,159.9667,,2200,60,G,111,,GRAV,,,,,,,,,,,?,,,Unknown,Appears a new runway is under construction at this location.,,,,,,,,,,
Ossora,,2 km S,Ossora,,RU,,UHPD,,CD,N,3,59,13.4,N,163,4.0,E,G,7,,,,,,59.2233,163.0667,,1575,40,G,9,,GRAV,,,,,,,,,,,CIV,,,Civilian,Unpaved civilian airfield along ocean shore.,,,,,,,,,,
Kardla,,5 km E,Kertel,,EE,4,EEKA,,W,M,4,58,59.4,N,22,49.8,E,W,16,W,,,,,58.9900,22.8300,6.0,1520,30,W,147,14/32,ASPH,,,,,,,,,,,CIV,,,Civilian,Well-maintained civilian airfield on Hiiumaa Island.,,,,,,,,,,
Asta,,12 km N,Kuressaare,,EE,4,,,,A,0,58,21.9,N,22,26.7,E,G,69,,,,,,58.3650,22.4450,6.0,2000,25,G,166,,????,,,,,,,,,,,-,,,Abandoned,"Airfield on Saaremaa Island plowed under and geometrics barely visible.  Listed on 1974 GNC-3 as having jet facilities, so was conceivably a 1950s-era front line interceptor base.",,,,,,,,,,
Kuressaare,,3 km SE,Kuressaare,,EE,4,EEKE,,W,M,5,58,13.8,N,22,30.6,E,G,13,,,,,,58.2300,22.5100,5.0,1518,30,W,180,18/36,ASPH,,,,,,,,,,,CIV,,,Civilian,Small civilian airport.,,,,,,,,,,
Tokhaapsalu,Haapsalu,4 km SW,Haapsalu/Khaapsalu,,EE,4,,,,M,,58,54.7,N,23,29.3,E,G,69,,,,,,58.9117,23.4883,6.0,2500,45,G,84,,CONC,,,,,,,,,,,MIL,,I," 425 IAP (38 MiG-23, 1991)[#1].",Small fighter airfield with a few revetments.  [Khaapsapu] [Khaapsalu],,,,,,,,,,
Parnu,"Topyarnu, Pyarnu, Piarnu",5 km NW,Piarnu,,EE,4,EEPU,,,M,,58,25.1,N,24,28.4,E,W,46,W,,,,,58.4183,24.4733,6.0,2480,45,W,35,03/21,CONC,,,,,,,,,,,CIV/MIL,,I,"366 IAP (MiG-23, 1991)[#1].  655 IAP (42 MiG-23, 1991).",Basic fighter airfield. Civilian terminal.,,,,,,,,,,
Koigi,,10 km E,Paide,,EE,4,,,,A,0,58,51.8,N,25,44.2,E,G,233,,,,,,58.8633,25.7367,,2500,30,H,137,,????,,,,,,,,,,,-,,,Abandoned,Appears to be a former attack deployment base.  It has gradually been converted into farmland and little remains.  In 1974 it was listed on the GNC-3 chart as a jet-capable facility.,,,,,,,,,,
Vohma,,4 km N,Vohma,,EE,4,,,,A,0,58,39.7,N,25,34.8,E,G,200,,,,,,58.6617,25.5800,,2000,30,G,3,,????,,,,,,,,,,,-,,,Abandoned,Former military base.  Very faint geometrics still visible.,,,,,,,,,,
Torva North,,15 km N,Torva,,EE,4,,,,A,0,58,11.5,N,25,56.9,E,G,203,,,,,,58.1917,25.9483,,2500,30,G,175,,????,,,,,,,,,,,-,,,Abandoned,Probably an abandoned front-line or maritime bomber base from 1940s or 1950s.  Some remains of runways and taxiways can be seen.,,,,,,,,,,
Tartu,,4 km NE,Tartu,,EE,9,,,,A,7,58,24.3,N,26,46.3,E,H,223,,,,,,58.4050,26.7717,,2500,60,G,91,,CONC,,,,,,,,,,,MIL,,B,"132 TBAP (Tu-22M3, 1991)[#2] (Tu-16).  192 VTAP (Il-76M, until 1990, then relocated to Tver)[#4].  196 VTAP (Il-76)[#4].",Fairly extensive base with 24 large revetments and over 30 small ones.  This may be civilian now as it was listed as an emergency airfield on a 1993 Jeppesen chart.,,,,,,,,,,
Tartu/Ulenurme,Toome (US),8 km S,Tartu,,EE,9,EETU,,,M,3,58,18.4,N,26,41.4,E,W,220,W,,,,,58.3067,26.6900,7.0,1379,35,W,88,08/26,ASPH,,,,,,,,,,,CIV,,,Civilian,Small civilian airport.,,,,,,,,,,
Smuravyevo,"Gdov (US), Smurav'yevo",14 km NE,Gdov,Pskovskaya,RU,,,,,M,8,58,48.9,N,28,0.8,E,G,200,,,,,,58.8150,28.0133,8.0,2500,45,G,172,16/34,CONC,,,,,,,,,,,MIL,,AB,"722 BAP (Su-24, 1994)[#7].",This medium-sized Su-24 base is located 63 km S of Ivangorod.  Nuclear bomber base according to NRDC.,,,,,,,,,,
Soltsy-2,"Sol'tsy (US), Soltsy, Solcy, Solcy 2, Sol'tsakh, Soltsakh",2 km N,Sol'tsy,Novgorodskaya,RU,,,,,M,8,58,8.3,N,30,19.8,E,G,266,,,,,,58.1383,30.3300,8.0,3000,80,G,56,05/23,CONC,,,,,,,,,,,MIL,,B,"840 TBAP (Tu-22M3, starting 1976, 1991, 1994)[#2][#6].","Located 72 km SW of Novgorod.  Large revetments, with separate area of 9 hardened areas about 1 mile from airfield.  Headquarters 326th Heavy Bomber Division (326 TBAD), tenant 840 TBAP is subordinate to it.  Nuclear base according to NRDC.",,,,,,,,,,
Krechevitsy,,11 km NE,Novgorod,,RU,,ULLK,,C,M,7,58,37.5,N,31,22.9,E,G,85,,,,,,58.6250,31.3817,9.0,2000,60,G,42,03/21,CONC,,,,,,,,,,,MIL,,C,110 VTAP (Il-76)[#4][#7],"30 large revetments in sprawling taxiway pattern, suitable for large transports.",,,,,,,,,,
Novgorod,Novgorod Southwest (US),4 km SW,Novgorod,Novgorodskaya,RU,,ULNN,,,M,4,58,29.6,N,31,14.5,E,G,85,,,,,,58.4933,31.2417,9.0,1320,40,G,22,02/20,ASPH,,,,,,,,,,,CIV,,,Civilian,Handles small transport planes.,,,,,,,,,,
Rybinsk/Staroselye,Rybinsk Northeast (US),8 km NE,Rybinsk,Yaroslavskaya,RU,,UUBK,,,M,4,58,6.1,N,38,55.5,E,G,423,,,,,,58.1017,38.9250,11.0,2000,29,W,54,04/22,ASPH,,,,,,,,,,,CIV,,,Civilian,Services small transport aircraft.  Small utilitarian layout.,,,,,,,,,,
Kirov/Pobedilovo,Lyangasovo (US),22 km SW,Kirov,,RU,,USKK,,CD,M,7,58,30.2,N,49,20.8,E,G,479,,,,,,58.5033,49.3467,14.0,2250,49,W,48,04/22,ASPH,,,,,,,,,,,CIV,,,Civilian,Handles small airliner traffic. [Lyangisovo],,,,,,,,,,
Laytamak,,,,,RU,3,,,,x,,58,25.0,N,67,28.0,E,,0,,,,,,58.4167,67.4667,15.0,,,,,,,,,,,,,,,,,,,,,NEED ONC D-5,,,,,,,,,,
Tobolsk,,7 km S,Tobolsk,Tyumenskaya,RU,,USTO,,D,N,3,58,8.1,N,68,13.9,E,G,167,,,,,,58.1350,68.2317,15.0,1600,90,W,88,07/25,DIRT,,,,,,,,,,,CIV,,,Civilian,Handles small transport aircraft.  Extremely unimproved dirt runway.,,,,,,,,,,
Novy Vasyugan,,,,,RU,,UNLW,,,M,5,58,35.1,N,76,30.3,E,J,74,G,,,,,58.5850,76.5050,13.0,650,22,H,64,05/23,CONC,,,,,,,,,,,CIV,,,Civilian,Well-developed civilian airfield with concrete 180 x 55 m tarmac.,,,,,,,,,,
Kolpashevo,,3 km NE,Kolpashevo,,RU,4,UNLL,,D,M,5,58,19.7,N,82,55.9,E,G,243,,,,,,58.3283,82.9317,11.0,1428,36,W,169,16/34,CONC,,,,,,,,,,,CIV,,,Civilian,Civilian airfield.  Simple utilitarian paved layout with 500 x 50 m tarmac.  Handles prop airliners.,,,,,,,,,,
Dalneye Southwest,,15 km SW,Dalneye,,RU,4,,,,N,,58,43.2,N,82,57.3,E,G,0,,,,,,58.7200,82.9550,,600,20,G,69,,DIRT,,,,,,,,,,,CIV,,,,Minor civilian airstrip.,,,,,,,,,,
Maksimkin Yar Southwest,,2 km W,Stepankovka,,RU,3,,,,N,,58,38.3,N,86,43.4,E,G,499,O87,,,,,58.6383,86.7233,,600,20,G,56,,DIRT,,,,,,,,,,,CIV,,,,Small civilian airstrip.,,,,,,,,,,
Yeniseysk,"Eniseysk, Yaniseysk",4 km NW,Yeniseysk,,RU,,UNII,,CD,N,4,58,28.6,N,92,6.7,E,G,253,,,,,,58.4767,92.1117,6.0,2190,40,G,170,16/34,ASPH,,,,,,,,,,,CIV,,,Civilian,Appears to be a very rudimentary civilian airfield.  Runway is either dirt or asphalt.,,,,,,,,,,
Motygino,,,,,RU,,UNIM,,,M,4,58,10.9,N,94,44.7,E,G,169,G,,,,,58.1817,94.7450,4.0,1310,20,G,89,,CONC,,,,,,,,,,,CIV,,,Civilian,Well designed utilitarian airport.,,,,,,,,,,
Boguchany,,2 km E,Boguchany,,RU,,UNKB,,D,M,4,58,22.8,N,97,28.4,E,G,446,,,,,,58.3800,97.4733,2.0,1200,20,W,85,08/26,CONC,,,,,,,,,,,CIV,,,Civilian,"Paved, minimal utilitarian layout.  Small transports.",,,,,,,,,,
Kodinsk,,24 km S,Kodinsk,Krasnoyarskiy,RU,,UNKI,,,M,5,58,28.8,N,99,5.7,E,G,991,,,,,,58.4800,99.0950,1.0,1602,32,W,65,06/24,PLAT,,,,,,,,,,,CIV,,,Civilian,Simple paved utilitarian layout.  Handles small airliners.,,,,,,,,,,
Ust-Ilimsk,,17 km NW,Ust-Ilimsk,Irkutskaya,RU,,UIBS,,,M,6,58,8.1,N,102,33.3,E,G,1339,,,,,,58.1350,102.5550,-2.0,3000,42,W,74,07/25,CONC,,,,,,,,,,,CIV,,,Civilian,Major regional facility handling all sizes of airliners.  Very large concrete runway with 500 x 200 m tarmac.,,,,,,,,,,
Mama,,1 km NW,Mama,Irkutskaya,RU,,UIKM,,,N,3,58,18.8,N,112,53.4,E,G,659,,,,,,58.3133,112.8900,-9.0,1662,45,W,146,15/33,CONC,,,,,,,,,,,CIV,,,Civilian,Small airfield near town center.,,,,,,,,,,
Aldan,,1 km E,Aldan,,RU,,UEEA,,CD,M,4,58,36.2,N,125,24.6,E,G,2241,,,,,,58.6033,125.4100,-14.0,1376,35,W,40,06/24,ASPH,,,,,,,,,,,CIV,,,Civilian,Very small airport; runway not directly visible on satellite but disturbed area measures 2000 m long.,,,,,,,,,,
Ventspils/International,,4 km S,Ventspils,,LV,,EVVA,,,M,4,57,21.5,N,21,32.6,E,G,20,,,,,,57.3583,21.5433,5.0,1298,32,W,36,03/21,CONC,,,,,,,,,,,CIV,,,Civilian,Very small civilian airport; may be unattended.,,,,,,,,,,
Liepas,,17 km S,Valmiera,Latvia,LV,9,,,,A,0,57,23.3,N,25,30.5,E,H,256,,,,,,57.3883,25.5083,,2000,40,H,166,,????,,,,,,,,,,,-,,,Abandoned,This is a major combat aircraft base that has been abandoned and dismantled.  All that appears now is farmland.  It was probably a forward attack deployment base.,,,,,,,,,,
Valga,,4 km NE,Valga,,EE,4,,,,A,0,57,48.8,N,26,4.6,E,G,239,,,,,,57.8133,26.0767,,2000,40,G,57,,????,,,,,,,,,,,-,,,Abandoned,"Major military airfield that has been plowed under.  Geometrics plainly visible.  Listed on 1974 GNC-3 as having jet facilities.  Located just 3 km inside Estonian border, near Latvia border.",,,,,,,,,,
Pskov,,6 km SE,Pskov,Pskovskaya,RU,,ULOO,,CD,M,7,57,47.0,N,28,23.7,E,D,154,D,,,,,57.7833,28.3950,7.0,2000,44,D,18,01/19,CONC,,,,,,,,,,,MIL/CIV,,C,334 VTAP (Il-76)[#4][#7].,"Medium air base with 27 large revetments in complex, sprawling taxiway layout.  Terminal area services 13 medium/large planes and 20 small planes.  No ILS.",,,,,,,,,,
Ostrov,"Gorokhovka (US), Kildin",7 km SE,Ostrov,Pskovskaya,RU,,,,,M,8,57,18.0,N,28,26.0,E,G,220,,,,,,57.3000,28.4333,,3500,60,G,16,,CONC,,,,,,,,,,,MIL,,R,"12 MRAP (Tu-16).  240 Gv MRAP (Tu-16).  5501 BKhu (74 Tu-16, 1992)[#3].",Large air base 57 km south of Pskov.  Nuclear bomber facility with 15 very large revetments on east side and about 30 small revetments on west side.  As many as 63 Tu-16s were based here.  5501 Unit is a direct reporting unit.,,,,,,,,,,
Dno,,4 km S,Dno,,RU,4,,,,A,0,57,47.2,N,29,59.0,E,G,253,,,,,,57.7867,29.9833,,2900,40,G,46,,????,,,,,,,,,,,-,,,Abandoned,"Major military airfield in 1950s, probably demolished in 1980s.  Little trace of it remains.",,,,,,,,,,
Staraya Rossiya,Staraya Russa (US),4 km SE,Staraya Russa,,RU,9,,,,M,,57,57.6,N,31,23.0,E,H,52,,,,,,57.9600,31.3833,,2000,40,H,16,01/19,CONC,,,,,,,,,,,CIV,,,Civilian,Large reworks facility for Antonov and Ilyushin aircraft.  Google Earth showed several Il-76 transport jets parked on the tarmac.  Listed on 1974 GNC-3 as having jet facilities.,,,,,,,,,,
Borisovsky/Khotilovo,"Borisovskiy (US), Borisovsky, Khatilovo",24 km S,Bologoye,Tverskaya,RU,9,,,,M,7,57,39.3,N,34,5.9,E,H,591,,,,,,57.6550,34.0983,,2500,45,H,25,,CONC,,,,,,,,,,,MIL,,I,"790 IAP (38 MiG-25) (MiG-31, 1991) [#1][#7]","Fighter base with 3 groups of fan revetments.  On 1 June 2005 a MiG-31 based here crash-landed here; the crew was only injured.  It appears that the airfield is undergoing major construction.  Only a 1550 m runway remained, but numerous MiG-31 aircraft were parked here.",,,,,,,,,,
Torkhok,,,,,RU,,,,,,,57,2.7,N,35,0.2,E,C,574,C,,,,,57.0450,35.0033,,528,32,C,,,CONC,,,,,,,,,,,,,,,,,,,,,,,,,
Dorokhovo,"Bezhetsk (US),  Bezhetsk, Dorokhov",7 km SW,Bezhetsk,Tverskaya,RU,4,,,,M,,57,43.5,N,36,39.0,E,G,469,,,,,,57.7250,36.6500,,2500,40,G,138,,CONC,,,,,,,,,,,MIL,,I,"611 IAP (39 Su-15) (Su-27, 1991) [#1] (MiG-31)[#7].",Small interceptor base with about 10 alert pads for fighter aircraft and some other pads and tarmac space.,,,,,,,,,,
Yaroslavl/Levtsovo,,5 km S,Jaroslavl,Yaroslavska,RU,,UUBX,,,N,,57,34.8,N,39,54.3,E,G,331,O,,,,,57.5800,39.9050,,1700,20,G,161,,DIRT,,,,,,,,,,,,,,,"Services An-2, Mi-8.",,,,,,,,,,
Tunoshna,Tunoshnoye (US),18 km SE,Yaroslavl,Yaroslavska,RU,,UUDL,,CD,M,,57,33.6,N,40,9.4,E,D,285,D,,,,,57.5600,40.1567,11.0,3008,41,D,63,05/23,ASPH,,,,,,,,,,,MIL/CIV,,I,"415 IAP (38 MiG-23P, 1991-1994) [#1]","Services medium-sized airliners.  Medium airfield, few revetments; 415 IAP disbanded in 1992 and the planes were sent to Rzhev.",,,,,,,,,,
Ivanovo/Severnii,"Ivanovo North (US), Zhukovka",6 km N,Ivanovo,,RU,9,XUDI,,,M,,57,3.5,N,40,58.8,E,H,443,C,,,,,57.0583,40.9800,,2304,40,C,118,11/29,CONC,,,,,,,,,,,MIL,,C,"81 VTAP (Il-76, An-12, An-22, disbanded 1998)[#4]  2457 DRLO (A-50)[#7]","Large transport operations airfield with hangars and significant tarmac space.  A civilian airfield with 2500 m runway exists 7 km S of Ivanovo.  Runway built 1935, upgraded 1965.  Received Russia's first Il-76 delivery 3 June 1974.",NE of Ivanovo.  An22 reworks (former base) IL76 AN12 base with most VVS A50(IL76) AWACs based Small military Museum  (AviaMK),,,,,,,,,
Kostroma,,6 km NE,Kostroma,,RU,4,UUBA,,,M,,57,47.8,N,41,1.2,E,G,446,,,,,,57.7967,41.0200,,1640,80,G,147,14/32,ASPH,,,,,,,,,,,CIV,,,Civilian,Services prop transports.,,,,,,,,,,
